en	literal	The Food and Agriculture Organization of the United Nations	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(12.482777777 41.893055555)	en	literal	Food and Agriculture Organization of the United Nations	en	literal	Rome
en	literal	WHO	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.15 46.2)	en	literal	World Health Organization	en	literal	Geneva
en	literal	OSCE	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(16.373064 48.20833)	en	literal	Organization for Security and Co-operation in Europe	en	literal	Vienna
en	literal	OAS	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(-77.036666666 38.895)	en	literal	Organization of American States	en	literal	Washington, D.C.
en	literal	OSCE	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(16.3665 48.21)	en	literal	Organization for Security and Co-operation in Europe		literal	Q2047146
en	literal	OSCE	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(16.366024 48.206429)	en	literal	Organization for Security and Co-operation in Europe	en	literal	Hofburg Palace
en	literal	A frican U nion， AU	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(38.736944444 9.027222222)	en	literal	African Union	en	literal	Addis Ababa
en	literal	Union africaine	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(38.736944444 9.027222222)	en	literal	African Union	en	literal	Addis Ababa
en	literal	Mercosul	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(-56.166666666 -34.866944444)	en	literal	Mercosur	en	literal	Montevideo
en	literal	Mercosur	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(-56.166666666 -34.866944444)	en	literal	Mercosur	en	literal	Montevideo
en	literal	Southern Common Market	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(-56.166666666 -34.866944444)	en	literal	Mercosur	en	literal	Montevideo
en	literal	AU	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(38.736944444 9.027222222)	en	literal	African Union	en	literal	Addis Ababa
en	literal	Southern Cone Common Market	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(-56.166666666 -34.866944444)	en	literal	Mercosur	en	literal	Montevideo
en	literal	United Nations. World Health Organization	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.15 46.2)	en	literal	World Health Organization	en	literal	Geneva
en	literal	World Health Organisation	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.15 46.2)	en	literal	World Health Organization	en	literal	Geneva
en	literal	World Health Organization, WHO	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.15 46.2)	en	literal	World Health Organization	en	literal	Geneva
en	literal	WTO	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.14967 46.2239)	en	literal	World Trade Organization	en	literal	Centre William Rappard
en	literal	ICPO	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(4.841388888 45.758888888)	en	literal	Interpol	en	literal	Lyon
en	literal	International Criminal Police Commision	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(4.841388888 45.758888888)	en	literal	Interpol	en	literal	Lyon
en	literal	International Criminal Police Commission	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(4.841388888 45.758888888)	en	literal	Interpol	en	literal	Lyon
en	literal	International Criminal Police Organization	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(4.841388888 45.758888888)	en	literal	Interpol	en	literal	Lyon
en	literal	International Police Organization	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(4.841388888 45.758888888)	en	literal	Interpol	en	literal	Lyon
en	literal	INTERPOL	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(4.841388888 45.758888888)	en	literal	Interpol	en	literal	Lyon
en	literal	OIPC	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(4.841388888 45.758888888)	en	literal	Interpol	en	literal	Lyon
en	literal	marlon es lindo	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(4.841388888 45.758888888)	en	literal	Interpol	en	literal	Lyon
en	literal	ICAO	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(-73.5612 45.5012)	en	literal	International Civil Aviation Organization	en	literal	International District
en	literal	ALBA	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(-66.933333333 10.5)	en	literal	Bolivarian Alliance for the Americas	en	literal	Caracas
en	literal	Bolivarian Alliance for the Peoples of Our America	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(-66.933333333 10.5)	en	literal	Bolivarian Alliance for the Americas	en	literal	Caracas
en	literal	UNSC	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(-73.94 40.67)	en	literal	United Nations Security Council	en	literal	New York City
en	literal	UN Security Council	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(-73.94 40.67)	en	literal	United Nations Security Council	en	literal	New York City
en	literal	Benelux Economic Union	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(4.3525 50.846666666)	en	literal	Benelux	en	literal	Brussels
en	literal	Benelux Union	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(4.3525 50.846666666)	en	literal	Benelux	en	literal	Brussels
en	literal	Office of the United Nations High Commissioner for Refugees	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.15 46.2)	en	literal	United Nations High Commissioner for Refugees	en	literal	Geneva
en	literal	UPU	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(7.44743 46.94798)	en	literal	Universal Postal Union	en	literal	Bern
en	literal	EAEC	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(4.3525 50.846666666)	en	literal	European Atomic Energy Community	en	literal	Brussels metropolitan area
en	literal	UN Refugee Agency	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.15 46.2)	en	literal	United Nations High Commissioner for Refugees	en	literal	Geneva
en	literal	UNHCR	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.15 46.2)	en	literal	United Nations High Commissioner for Refugees	en	literal	Geneva
en	literal	Euratom	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(4.3525 50.846666666)	en	literal	European Atomic Energy Community	en	literal	Brussels metropolitan area
en	literal	ISO	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.15 46.2)	en	literal	International Organization for Standardization	en	literal	Geneva
en	literal	CIS	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(30.375833333 59.947777777)	en	literal	Commonwealth of Independent States	en	literal	Tauride Palace
en	literal	Commonwealth	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(-0.135833333 51.505)	en	literal	Commonwealth of Nations	en	literal	Marlborough House
en	literal	the Commonwealth	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(-0.135833333 51.505)	en	literal	Commonwealth of Nations	en	literal	Marlborough House
en	literal	CIS	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(37.6196 55.7481)	en	literal	Commonwealth of Independent States	en	literal	Sofiyskaya Embankment
en	literal	CIS	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(37.617777777 55.755833333)	en	literal	Commonwealth of Independent States	en	literal	Moscow
en	literal	British Commonwealth	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(-0.135833333 51.505)	en	literal	Commonwealth of Nations	en	literal	Marlborough House
en	literal	British Commonwealth of Nations	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(-0.135833333 51.505)	en	literal	Commonwealth of Nations	en	literal	Marlborough House
en	literal	CIS	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(27.55963 53.89714)	en	literal	Commonwealth of Independent States	en	literal	Kirava Street, Minsk
en	literal	CIS	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(27.561837 53.902246)	en	literal	Commonwealth of Independent States	en	literal	Minsk
en	literal	Organisation for Security and Co-operation in Europe	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(16.3665 48.21)	en	literal	Organization for Security and Co-operation in Europe		literal	Q2047146
en	literal	Organisation for Security and Cooperation in Europe	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(16.3665 48.21)	en	literal	Organization for Security and Co-operation in Europe		literal	Q2047146
en	literal	Organization for Security and Cooperation in Europe	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(16.3665 48.21)	en	literal	Organization for Security and Co-operation in Europe		literal	Q2047146
en	literal	Organisation for Security and Co-operation in Europe	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(16.366024 48.206429)	en	literal	Organization for Security and Co-operation in Europe	en	literal	Hofburg Palace
en	literal	Organisation for Security and Cooperation in Europe	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(16.366024 48.206429)	en	literal	Organization for Security and Co-operation in Europe	en	literal	Hofburg Palace
en	literal	Organization for Security and Cooperation in Europe	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(16.366024 48.206429)	en	literal	Organization for Security and Co-operation in Europe	en	literal	Hofburg Palace
en	literal	OPEC	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(16.373064 48.20833)	en	literal	Organization of the Petroleum Exporting Countries	en	literal	Vienna
en	literal	Organisation for Security and Co-operation in Europe	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(16.373064 48.20833)	en	literal	Organization for Security and Co-operation in Europe	en	literal	Vienna
en	literal	Organisation for Security and Cooperation in Europe	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(16.373064 48.20833)	en	literal	Organization for Security and Co-operation in Europe	en	literal	Vienna
en	literal	Organization for Security and Cooperation in Europe	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(16.373064 48.20833)	en	literal	Organization for Security and Co-operation in Europe	en	literal	Vienna
en	literal	LN	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.140477777 46.226563888)	en	literal	League of Nations	en	literal	Palace of Nations
en	literal	LN	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.151 46.2149)	en	literal	League of Nations	en	literal	Palais Wilson
en	literal	World Meteorological Organization; WMO	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.15 46.2)	en	literal	World Meteorological Organization	en	literal	Geneva
en	literal	Treaty of Friendship, Co-operation and Mutual Assistance	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(37.617777777 55.755833333)	en	literal	Warsaw Pact	en	literal	Moscow
en	literal	Treaty of Friendship, Co-operation, and Mutual Assistance	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(37.617777777 55.755833333)	en	literal	Warsaw Pact	en	literal	Moscow
en	literal	Warsaw Treaty Organization	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(37.617777777 55.755833333)	en	literal	Warsaw Pact	en	literal	Moscow
en	literal	CIO	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.633333333 46.533333333)	en	literal	International Olympic Committee	en	literal	Lausanne
en	literal	IOC	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.633333333 46.533333333)	en	literal	International Olympic Committee	en	literal	Lausanne
en	literal	LoN	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.140477777 46.226563888)	en	literal	League of Nations	en	literal	Palace of Nations
en	literal	LoN	http://www.opengis.net/ont/geosparql#wktLiteral	literal	Point(6.151 46.2149)	en	literal	League of Nations	en	literal	Palais Wilson
