a2004_abbrev_org,a2004_name_org,a2004_date de création,a2004_GPS_siege,a2004_longitude_siege,a2004_point_palladio,a2004_latitude_siege,a2004_nom_siege,a2004_members,a2004_population_org,a2004_soldats_org,a2004_mortsGuerre_org,a2004_depensesMilitairesPIB_org,a2004_exportations_org,a2004_importations_org,a2004_superficie_org,a2011_members,a2011_population_org,a2011_soldats_org,a2011_mortsGuerre_org,a2011_depensesMilitairesPIB_org,a2011_exportations_org,a2011_importations_org,a2011_superficie_org,a2018_members,a2018_population_org,a2018_soldats_org,a2018_mortsGuerre_org,a2018_depensesMilitairesPIB_org,a2018_exportations_org,a2018_importations_org,a2018_superficie_org
ACP,"African, Caribbean, and Pacific Countries",1976-04-01,,,,,,"East Timor\Sao Tome and Principe\Guinea-Bissa\Ethiopia\Swaziland\Bahamas\The\Rwanda\Togo\Cape Verde\Dominica\Liberia\Micronesia\Federated States of\Tanzania\Niue\Senegal\Jamaica\Congo\Republic of the\Lesotho\Saint Vincent and the Grenadines\Kenya\Saint Lucia\Mauritania\Solomon Islands\Somalia\Seychelles\u""Cote dIvoire""\Cook Islands\Benin\Cuba\Cameroon\Saint Kitts and Nevis\Burkina Faso\Dominican Republic\Ghana\Tonga\Central African Republic\Mauritius\Mali\Angola\Chad\South Africa\Barbados\Uganda\Niger\Guinea\Congo\Democratic Republic of the\Pala\Nigeria\Tuval\Marshall Islands\Kiribati\Haiti\Belize\Sierra Leone\Namibia\Grenada\Djibouti\Antigua and Barbuda\Burundi\Fiji\Madagascar\Sudan\Vanuat\Suriname\Naur\Zambia\Samoa\Mozambique\Papua New Guinea\Malawi\Trinidad and Tobago\Zimbabwe\Eritrea\Guyana\Equatorial Guinea\Botswana\Gambia\The\Gabon\Comoros",759271130,1564090,5798,80.76046167310578,11693.439006739996,10176.68043084,2.696713735E12,"Micronesia\Federated States Of\Guinea-Bissa\Ethiopia\Swaziland\Bahamas\The\Burkina Faso\Rwanda\Congo\Republic Of The\Cape Verde\Dominica\Liberia\Tanzania\Saint Kitts And Nevis\Gabon\Niue\Senegal\Jamaica\Samoa\Madagascar\Lesotho\Saint Vincent And The Grenadines\Kenya\Mauritania\Solomon Islands\Saint Lucia\Congo\Democratic Republic Of The\Tonga\Somalia\Naur\Seychelles\Malawi\Cook Islands\Benin\Cuba\Cameroon\Togo\Dominican Republic\Ghana\Central African Republic\Mauritius\Antigua And Barbuda\Angola\Chad\South Africa\Uganda\Niger\Guinea\Mali\Pala\Nigeria\Tuval\Marshall Islands\Kiribati\Haiti\Belize\Sierra Leone\Sao Tome And Principe\Grenada\Equatorial Guinea\Djibouti\Timor-Leste\Burundi\Fiji\Barbados\Sudan\Suriname\Zambia\Mozambique\Papua New Guinea\Zimbabwe\Vanuat\u""Cote DIvoire""\Eritrea\Guyana\Botswana\Trinidad And Tobago\Gambia\The\Namibia\Comoros",916970122,1649812,3915,58.814791814334264,31201.312202999994,27193.5545475,2.54589666E7,Sao Tome and Principe\Ethiopia\Belize\Cameroon\Burkina Faso\Rwanda\Guinea\Liberia\Jamaica\Tanzania\Gambia\Bahamas\Madagascar\Saint Vincent and the Grenadines\Kenya\Eritrea\Solomon Islands\Saint Lucia\Somalia\Seychelles\Malawi\Cook Islands\Benin\Saint Kitts and Nevis\Togo\Guinea-Bissa\Antigua and Barbuda\Dominican Republic\Ghana\Tonga\Cote dIvoire\Central African Republic\Mali\Mauritius\Angola\Mozambique\Uganda\Niger\Guyana\Cape Verde\Nigeria\Tuval\Zaire\Haiti\Sierra Leone\Namibia\Lesotho\Kiribati\Grenada\Chad\Equatorial Guinea\Djibouti\Timor-Leste\Dominica\Burundi\Barbados\Sudan\Suriname\Swaziland\Zambia\Samoa\Senegal\Papua New Guinea\Gabon\Zimbabwe\Vanuat\Mauritania\Trinidad and Tobago\Comoros\Congo\Fiji\Botswana\Niue,585665956,1487000,5340,62.580731137042584,32252.51633078,27376.42758660001,2.3525955E7
AfDB,African Development Bank,1963-08-04,POINT(-4.026666666 5.336388888),-4.026666666000001,"5.336388888, -4.026666666",5.336388888,Abidjan,"Canada\Sao Tome and Principe\Guinea-Bissa\Ethiopia\Swaziland\Argentina\Saudi Arabia\Rwanda\Togo\Japan\Cape Verde\Kuwait\Liberia\Tanzania\Senegal\Congo\Republic of the\India\Lesotho\Kenya\Mauritania\France\Somalia\Seychelles\Norway\u""Cote dIvoire""\Benin\Cameroon\Burkina Faso\China\Ghana\Finland\Libya\Central African Republic\Mauritius\Mali\United States\Angola\Chad\South Africa\Sweden\Austria\Uganda\Niger\Brazil\Guinea\Congo\Democratic Republic of the\Nigeria\Algeria\Belgium\Sierra Leone\Denmark\Namibia\Morocco\Switzerland\Portugal\Korea\South\Tunisia\Djibouti\Spain\Burundi\Madagascar\Italy\Sudan\Netherlands\Zambia\Mozambique\Malawi\Zimbabwe\Germany\Eritrea\Equatorial Guinea\Egypt\Botswana\United Kingdom\Gambia\The\Gabon\Comoros",4367662317,13156050,7420,132.00933640778314,12984.917682429998,11341.872777680002,2.750934113E12,"Canada\Guinea-Bissa\Ethiopia\Swaziland\Argentina\Burkina Faso\Saudi Arabia\Rwanda\Congo\Republic Of The\Japan\Cape Verde\Kuwait\Liberia\Tanzania\Gabon\Senegal\India\Madagascar\Lesotho\Kenya\Mauritania\Congo\Democratic Republic Of The\France\Somalia\Seychelles\Norway\Malawi\Benin\Cameroon\Togo\China\Ghana\Finland\Libya\Central African Republic\Mauritius\United States\Angola\Chad\South Africa\Sweden\Austria\Uganda\Niger\Brazil\Guinea\Mali\Nigeria\Algeria\Belgium\Sierra Leone\Denmark\Sao Tome And Principe\Morocco\Switzerland\Portugal\Equatorial Guinea\Korea\South\Tunisia\Djibouti\Spain\Burundi\Italy\Sudan\Netherlands\Zambia\Mozambique\Zimbabwe\Germany\u""Cote DIvoire""\Eritrea\Egypt\Botswana\United Kingdom\Gambia\The\Namibia\Comoros",4753995890,12230938,8377,102.21414166036155,33705.2922411,30135.6581456,8.0085719E7,Canada\Brazil\Sao Tome and Principe\Ethiopia\Argentina\Cameroon\Burkina Faso\Saudi Arabia\Rwanda\Guinea\Spain\Liberia\Netherlands\Tanzania\Gambia\United Arab Emirates\India\Madagascar\Kenya\South Korea\Eritrea\France\Somalia\Seychelles\Norway\Malawi\Benin\Togo\Guinea-Bissa\China\Ghana\Libya\Cote dIvoire\Finland\Central African Republic\United States\Mali\Mauritius\Angola\Portugal\Sweden\Austria\Mozambique\Uganda\Niger\Kuwait\Cape Verde\Nigeria\Algeria\Zaire\Belgium\Sierra Leone\Denmark\Namibia\Lesotho\Switzerland\Chad\Equatorial Guinea\Tunisia\Djibouti\Burundi\Italy\Sudan\Swaziland\Zambia\Senegal\Gabon\Zimbabwe\Germany\Mauritania\Japan\Morocco\Egypt\Comoros\United Kingdom\Congo\Botswana,3915761354,12032000,6253,109.70201080690617,36029.731692490015,31598.14091200001,7.7661373E7
ACCT,Agency for Cultural and Technical Cooperation,1970-03-21,,,,,,"Canada\Sao Tome and Principe\Guinea-Bissa\Lithuania\Cambodia\Rwanda\Togo\Cape Verde\Dominica\Vietnam\Monaco\Senegal\Albania\Congo\Republic of the\Saint Lucia\Mauritania\France\Laos\Seychelles\u""Cote dIvoire""\Benin\Cameroon\Burkina Faso\Central African Republic\Mauritius\Mali\Bulgaria\Romania\Chad\Niger\Guinea\Congo\Democratic Republic of the\Luxembourg\Czech Republic\Belgium\Haiti\Poland\Moldova\Morocco\Switzerland\Lebanon\Tunisia\Djibouti\Burundi\Madagascar\Vanuat\Macedonia\Equatorial Guinea\Egypt\Gabon\Comoros",654689696,1907662,695,66.40545338262412,8353.38796566,7297.03082248,2.695940505E12,,0,0,0,0.0,0.0,0.0,0.0,Canada\Cambodia\Cameroon\Burkina Faso\Rwanda\Guinea\Monaco\Madagascar\Saint Lucia\France\Laos\Seychelles\Benin\Togo\Guinea-Bissa\Cote dIvoire\Central African Republic\Vietnam\Mali\Bulgaria\Mauritius\Romania\Niger\Luxembourg\Zaire\Belgium\Haiti\Chad\Equatorial Guinea\Lebanon\Tunisia\Djibouti\Dominica\Burundi\Senegal\Gabon\Vanuat\Mauritania\Morocco\Egypt\Comoros\Congo,509389049,1981000,1600,53.95734238507105,19101.402869899994,18431.796444400006,2.41333299E7
OPANAL,Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean,1967-02-14,,,,,,Argentina\Bolivia\Guatemala\Dominica\Jamaica\Nicaragua\Saint Vincent and the Grenadines\Saint Lucia\Per\Cuba\Saint Kitts and Nevis\Barbados\Panama\Costa Rica\Ecuador\El Salvador\Chile\Belize\Mexico\Uruguay\Antigua and Barbuda\Colombia\Suriname\Venezuela\Trinidad and Tobago\Paraguay\Guyana,336783431,1237970,1234,22.45608688519946,3169.7480480100003,2918.0816536499997,1.1717483E10,Argentina\Bolivia\Bahamas\The\Guatemala\Dominica\Saint Kitts And Nevis\Jamaica\Uruguay\Saint Vincent And The Grenadines\Saint Lucia\Per\Cuba\Dominican Republic\Antigua And Barbuda\Brazil\Panama\Costa Rica\Ecuador\El Salvador\Chile\Haiti\Belize\Mexico\Grenada\Colombia\Barbados\Suriname\Venezuela\Guyana\Honduras\Nicaragua\Trinidad And Tobago\Paraguay,591662155,2332597,202,27.435587113974016,10445.884377820003,9011.593949499997,2.04382166E7,Brazil\Belize\Argentina\Bolivia\Guatemala\Paraguay\Jamaica\Bahamas\Uruguay\Saint Vincent and the Grenadines\Per\Antigua and Barbuda\Dominican Republic\Nicaragua\Panama\Costa Rica\Ecuador\El Salvador\Chile\Haiti\Grenada\Dominica\Colombia\Barbados\Suriname\Venezuela\Trinidad and Tobago\Honduras\Mexico,471458726,2333000,142,23.71186886519201,9326.500074009999,8739.5737266,2.0105581E7
AG,Andean Group,1969-05-26,POINT(-77.033333333 -12.05),-77.033333333,"-12.05, -77.033333333",-12.05,Lima,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,Canada\Brazil\Argentina\Bolivia\Spain\Australia\Netherlands\Paraguay\Uruguay\India\France\Per\Finland\United States\Sweden\Austria\Panama\Costa Rica\Ecuador\Belgium\Denmark\Switzerland\Colombia\Italy\Venezuela\Israel\Germany\Japan\Mexico\Egypt\United Kingdom,2227240887,8329000,1026,43.09820692689986,9857.3274042,9580.072186,5.3383024E7
ABEDA,Arab Bank for Economic Development in Africa,1974-02-18,POINT(32.52654 15.60308),32.526540000000004,"15.60308, 32.52654",15.603079999999999,Khartoum,Bahrain\Saudi Arabia\Togo\Kuwait\Jordan\Oman\United Arab Emirates\Mauritania\France\Cameroon\Libya\Qatar\Malaysia\Algeria\Morocco\Croatia\Iraq\Lebanon\Tunisia\Madagascar\Sudan\Syria\Honduras\Egypt,420377099,2159750,8222,76.62458857702106,3431.7932347399997,3781.32752,1.4464873E10,Bahrain\Saudi Arabia\Kuwait\Oman\United Arab Emirates\Mauritania\Libya\Qatar\Algeria\Jordan\Morocco\Iraq\Lebanon\Tunisia\Sudan\Syria\Egypt,317134585,2289710,6513,48.22641831012741,7363.757893,6509.734815300001,1.2585597E7,Bahrain\Saudi Arabia\Jordan\Oman\United Arab Emirates\Libya\Kuwait\Algeria\Iraq\Lebanon\Tunisia\Qatar\Sudan\Mauritania\Syria\Morocco\Egypt,248885680,1589000,1588,53.76320902178102,5988.7930928,7248.4684586,1.1645002E7
ACC,Arab Cooperation Council,1989-02-16,,,,,,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,Jordan\Yemen\Iraq\Egypt,102692729,325000,1254,7.40905653354714,876.6663546,842.3977493,2055705.0
AFESD,Arab Fund for Economic and Social Development,1968-05-16,POINT(47.98 29.375),47.98,"29.375, 47.98",29.375,Kuwait City,Bahrain\Saudi Arabia\Kuwait\Jordan\Oman\Yemen\United Arab Emirates\Mauritania\Somalia\Libya\Qatar\Algeria\Morocco\Iraq\Lebanon\Tunisia\Djibouti\Sudan\Syria\Egypt,314783974,1580000,8222,70.73328299264087,2640.88512514,2989.8288128000004,1.3488823E10,Bahrain\Saudi Arabia\Kuwait\Oman\Yemen\United Arab Emirates\Mauritania\Somalia\Libya\Qatar\Algeria\Jordan\Morocco\Iraq\Lebanon\Tunisia\Djibouti\Sudan\Syria\Egypt,351950791,2305860,8450,48.22641831012741,7926.5455397,7106.853964300001,1.3774422E7,Bahrain\Saudi Arabia\Jordan\Oman\Yemen\United Arab Emirates\Somalia\Libya\Kuwait\Algeria\Iraq\Lebanon\Tunisia\Djibouti\Qatar\Sudan\Mauritania\Syria\Morocco\Egypt,272435651,1622000,3795,53.76320902178102,6697.563183199999,7999.551574900001,1.2832632E7
AL,Arab League,1945-03-22,POINT(31.234722 30.044167),31.234721999999998,"30.044167, 31.234722",30.044166999999998,Headquarters of the Arab League,,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,Bahrain\Saudi Arabia\Jordan\Oman\Yemen\United Arab Emirates\Somalia\Libya\Kuwait\Algeria\Iraq\Lebanon\Tunisia\Djibouti\Qatar\Sudan\Mauritania\Syria\Morocco\Egypt\Comoros,273004888,1622000,3795,53.76320902178102,7006.498088199999,8657.9043545,1.2834802E7
AMU,Arab Maghreb Union,1989-02-17,POINT(-6.836111111 34.025277777),-6.836111111,"34.025277777, -6.836111111",34.025277777,Rabat,Mauritania\Libya\Algeria\Morocco\Tunisia,82943295,711000,397,14.027835370636,725.5560552,875.0565296999999,5.78214E9,Mauritania\Libya\Algeria\Morocco\Tunisia,87472078,631650,4037,9.1844756703692,1855.0840032,1936.2299409,5782141.0,Libya\Algeria\Tunisia\Mauritania\Morocco,75763359,632000,77,13.48492350428237,1564.0507456,2123.4248809,5782140.0
