abbrev_org,name_org,date de création,GPS_siege,longitude_siege,point_palladio,latitude_siege,nom_siege,members,nombre_pays_membres,population_org,soldats_org,mortsGuerre_org,depensesMilitairesPIB_org,exportations_org,importations_org,superficie_org
ACP,"African, Caribbean, and Pacific Countries",1976-04-01,,,,,,Sao Tome and Principe\Ethiopia\Belize\Cameroon\Burkina Faso\Rwanda\Guinea\Liberia\Jamaica\Tanzania\Gambia\Bahamas\Madagascar\Saint Vincent and the Grenadines\Kenya\Eritrea\Solomon Islands\Saint Lucia\Somalia\Seychelles\Malawi\Cook Islands\Benin\Saint Kitts and Nevis\Togo\Guinea-Bissa\Antigua and Barbuda\Dominican Republic\Ghana\Tonga\Cote dIvoire\Central African Republic\Mali\Mauritius\Angola\Mozambique\Uganda\Niger\Guyana\Cape Verde\Nigeria\Tuval\Zaire\Haiti\Sierra Leone\Namibia\Lesotho\Kiribati\Grenada\Chad\Equatorial Guinea\Djibouti\Timor-Leste\Dominica\Burundi\Barbados\Sudan\Suriname\Swaziland\Zambia\Samoa\Senegal\Papua New Guinea\Gabon\Zimbabwe\Vanuat\Mauritania\Trinidad and Tobago\Comoros\Congo\Fiji\Botswana\Niue,73,585665956,1487000,5340,62.580731137042584,32252.51633078,27376.42758660001,2.3525955E7
AfDB,African Development Bank,1963-08-04,POINT(-4.026666666 5.336388888),-4.026666666000001,"5.336388888, -4.026666666",5.336388888,Abidjan,Canada\Brazil\Sao Tome and Principe\Ethiopia\Argentina\Cameroon\Burkina Faso\Saudi Arabia\Rwanda\Guinea\Spain\Liberia\Netherlands\Tanzania\Gambia\United Arab Emirates\India\Madagascar\Kenya\South Korea\Eritrea\France\Somalia\Seychelles\Norway\Malawi\Benin\Togo\Guinea-Bissa\China\Ghana\Libya\Cote dIvoire\Finland\Central African Republic\United States\Mali\Mauritius\Angola\Portugal\Sweden\Austria\Mozambique\Uganda\Niger\Kuwait\Cape Verde\Nigeria\Algeria\Zaire\Belgium\Sierra Leone\Denmark\Namibia\Lesotho\Switzerland\Chad\Equatorial Guinea\Tunisia\Djibouti\Burundi\Italy\Sudan\Swaziland\Zambia\Senegal\Gabon\Zimbabwe\Germany\Mauritania\Japan\Morocco\Egypt\Comoros\United Kingdom\Congo\Botswana,77,3915761354,12032000,6253,109.70201080690617,36029.731692490015,31598.14091200001,7.7661373E7
ACCT,Agency for Cultural and Technical Cooperation,1970-03-21,,,,,,Canada\Cambodia\Cameroon\Burkina Faso\Rwanda\Guinea\Monaco\Madagascar\Saint Lucia\France\Laos\Seychelles\Benin\Togo\Guinea-Bissa\Cote dIvoire\Central African Republic\Vietnam\Mali\Bulgaria\Mauritius\Romania\Niger\Luxembourg\Zaire\Belgium\Haiti\Chad\Equatorial Guinea\Lebanon\Tunisia\Djibouti\Dominica\Burundi\Senegal\Gabon\Vanuat\Mauritania\Morocco\Egypt\Comoros\Congo,42,509389049,1981000,1600,53.95734238507105,19101.402869899994,18431.796444400006,2.41333299E7
OPANAL,Agency for the Prohibition of Nuclear Weapons in Latin America and the Caribbean,1967-02-14,,,,,,Brazil\Belize\Argentina\Bolivia\Guatemala\Paraguay\Jamaica\Bahamas\Uruguay\Saint Vincent and the Grenadines\Per\Antigua and Barbuda\Dominican Republic\Nicaragua\Panama\Costa Rica\Ecuador\El Salvador\Chile\Haiti\Grenada\Dominica\Colombia\Barbados\Suriname\Venezuela\Trinidad and Tobago\Honduras\Mexico,29,471458726,2333000,142,23.71186886519201,9326.500074009999,8739.5737266,2.0105581E7
AG,Andean Group,1969-05-26,POINT(-77.033333333 -12.05),-77.033333333,"-12.05, -77.033333333",-12.05,Lima,Canada\Brazil\Argentina\Bolivia\Spain\Australia\Netherlands\Paraguay\Uruguay\India\France\Per\Finland\United States\Sweden\Austria\Panama\Costa Rica\Ecuador\Belgium\Denmark\Switzerland\Colombia\Italy\Venezuela\Israel\Germany\Japan\Mexico\Egypt\United Kingdom,31,2227240887,8329000,1026,43.09820692689986,9857.3274042,9580.072186,5.3383024E7
ABEDA,Arab Bank for Economic Development in Africa,1974-02-18,POINT(32.52654 15.60308),32.526540000000004,"15.60308, 32.52654",15.603079999999999,Khartoum,Bahrain\Saudi Arabia\Jordan\Oman\United Arab Emirates\Libya\Kuwait\Algeria\Iraq\Lebanon\Tunisia\Qatar\Sudan\Mauritania\Syria\Morocco\Egypt,17,248885680,1589000,1588,53.76320902178102,5988.7930928,7248.4684586,1.1645002E7
ACC,Arab Cooperation Council,1989-02-16,,,,,,Jordan\Yemen\Iraq\Egypt,4,102692729,325000,1254,7.40905653354714,876.6663546,842.3977493,2055705.0
AFESD,Arab Fund for Economic and Social Development,1968-05-16,POINT(47.98 29.375),47.98,"29.375, 47.98",29.375,Kuwait City,Bahrain\Saudi Arabia\Jordan\Oman\Yemen\United Arab Emirates\Somalia\Libya\Kuwait\Algeria\Iraq\Lebanon\Tunisia\Djibouti\Qatar\Sudan\Mauritania\Syria\Morocco\Egypt,20,272435651,1622000,3795,53.76320902178102,6697.563183199999,7999.551574900001,1.2832632E7
AL,Arab League,1945-03-22,POINT(31.234722 30.044167),31.234721999999998,"30.044167, 31.234722",30.044166999999998,Headquarters of the Arab League,Bahrain\Saudi Arabia\Jordan\Oman\Yemen\United Arab Emirates\Somalia\Libya\Kuwait\Algeria\Iraq\Lebanon\Tunisia\Djibouti\Qatar\Sudan\Mauritania\Syria\Morocco\Egypt\Comoros,21,273004888,1622000,3795,53.76320902178102,7006.498088199999,8657.9043545,1.2834802E7
AMU,Arab Maghreb Union,1989-02-17,POINT(-6.836111111 34.025277777),-6.836111111,"34.025277777, -6.836111111",34.025277777,Rabat,Libya\Algeria\Tunisia\Mauritania\Morocco,5,75763359,632000,77,13.48492350428237,1564.0507456,2123.4248809,5782140.0
