area,PIB_par_hbt,government,name,car_code,memberships,nombre_appartenances,population,religion_principale,langue_principale,PIB_national,Soldats_2017,DepensesMilitairesPIB_2018,MortsGuerre_2018,Exportations_2018,Importations_2018
356910.0,1452200.0,federal republic,Germany,D,AfDB\AG\AsDB\BIS\CDB\BDEAC\CE\CBSS\CCC\ECE\EBRD\EIB\CERN\ESA\EU\FAO\G-5\G-7\G-8\G-10\IADB\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\MTCR\NAM\ANC\NATO\EN\NSG\OECD\OSCE\OAS\PCA\UN\UNAMIR\UNCRO\UNESCO\UNIDO\UNITAR\MINURSO\UNOMIG\UNHCR\UNPROFOR\UPU\WEU\WHO\WIPO\WMO\WToO\WTrO\ZC,69,83536115,Roman Catholic,German,1.21311146203E14,180000,1.23376875688812,0,283.5236418,259.2338959
93030.0,72500.0,republic,Hungary,H,BIS\CEI\CE\CCC\ECE\EBRD\CERN\EU\FAO\G-9\IAEA\IBRD\ICAO\Interpol\IDA\IFRCS\IFC\ILO\IMO\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\MTCR\NAM\ANC\NSG\OECD\OSCE\OAS\PFP\PCA\UN\UNAVEM-III\UNESCO\UNIDO\UNIKOM\MINURSO\UNMOT\UNOMIG\UNHCR\UNU\UPU\WEU\WFTU\WHO\WIPO\WMO\WToO\WTrO\ZC,53,10002541,Roman Catholic,Hungarian,7.251842225E11,40000,1.08207729001535,0,446.1997814,378.2284349
301230.0,1088600.0,republic,Italy,I,AfDB\AG\AsDB\BIS\CDB\CEI\CE\CCC\ECE\ECLAC\EBRD\EIB\CERN\ESA\EU\FAO\G-7\G-8\G-10\IADB\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\LAIA\MTCR\NAM\ANC\NATO\EN\NSG\OECD\OSCE\OAS\PCA\UN\UNESCO\UNIDO\UNITAR\UNIFIL\UNIKOM\UNMOGIP\MINURSO\UNHCR\UNTSO\UPU\WEU\WCL\WHO\WIPO\WMO\WToO\WTrO\ZC,70,57460274,Roman Catholic,Italian,6.25512542764E13,347000,1.3327023072539,0,227.2776013,209.7512356
160.0,630.0,hereditary constitutional monarchy,Liechtenstein,FL,CE\ECE\EBRD\EFTA\IAEA\Interpol\IFRCS\IOC\ICRM\ITU\Intelsat\OSCE\PCA\UN\UPU\WCL\WIPO\WTrO,17,31122,Roman Catholic,German,1.960686E7,0,0.0,0,0.0,0.0
48845.0,39000.0,parliamentary democracy,Slovakia,SK,BIS\BSEC\CEI\CE\CCC\ECE\EBRD\CERN\EU\FAO\IAEA\IBRD\ICAO\ICFTU\Interpol\IDA\IFRCS\IFC\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\ANC\NSG\OSCE\PFP\PCA\UN\UNAVEM-III\UNCRO\UNESCO\UNIDO\UPU\WEU\WHO\WIPO\WMO\WToO\WTrO\ZC,45,5374362,Roman Catholic,Slovak,2.09600118E11,0,0.0,0,0.0,0.0
20256.0,22600.0,emerging democracy,Slovenia,SLO,CEI\CE\CCC\ECE\EBRD\EU\FAO\IADB\IAEA\IBRD\ICAO\Interpol\IDA\IFRCS\IFC\ILO\IMO\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\NAM\ANC\OSCE\PFP\UN\UNESCO\UNIDO\UPU\WHO\WIPO\WMO\WToO\WTrO,36,1951443,Muslim,Slovenian,4.41026118E10,7000,0.974192235140298,0,504.0044309,416.5411719
41290.0,158500.0,federal republic,Switzerland,CH,AfDB\AG\AsDB\BIS\CE\CCC\ECE\EBRD\EFTA\CERN\ESA\FAO\G-10\IADB\IAEA\IBRD\ICC\ICAO\ICFTU\Interpol\IDA\IEA\IFRCS\IFC\IFAD\ILO\IMO\Inmarsat\IMF\IOC\IOM\ISO\ICRM\ITU\Intelsat\MTCR\NAM\EN\NSG\OECD\OSCE\OAS\PCA\UN\UNAMIR\UNESCO\UNIDO\UNITAR\UNMOT\UNOMIG\UNHCR\UNPREDEP\UNPROFOR\UNTSO\UNU\UPU\WCL\WHO\WIPO\WMO\WToO\WTrO\ZC,62,7207060,Roman Catholic,French,1.14231901E12,21000,0.675557385670456,0,0.0,0.0
207600.0,49200.0,republic,Belarus,BY,CEI\CIS\CE\CCC\ECE\EBRD\IAEA\IBRD\ICAO\Interpol\IFRCS\IFC\ILO\Inmarsat\IMF\IOC\IOM\ISO\ITU\Intelsat\ANC\OSCE\PFP\PCA\UN\UNESCO\UNIDO\UPU\WHO\WIPO\WMO\WTrO,31,10415973,Christian Orthodox,Russian,5.124658716E11,155000,1.26544717212154,0,460.336591,444.2286785
64100.0,14700.0,republic,Latvia,LV,BIS\CE\CBSS\CCC\ECE\EBRD\EU\FAO\IBRD\ICAO\Interpol\IDA\IFRCS\IFC\ILO\IMO\IMF\IOC\IOM\ICRM\ITU\Intelsat\ANC\OSCE\PFP\UN\UNESCO\UNIDO\UPU\WEU\WHO\WIPO\WMO\WTrO,33,2468982,Protestant,Latvian,3.62940354E10,6000,1.97955144365229,0,863.1471441,614.4164385
65200.0,13300.0,republic,Lithuania,LT,BIS\CE\CBSS\CCC\ECE\EBRD\EU\FAO\IAEA\IBRD\ICAO\Interpol\IFRCS\IFC\ILO\IMF\IOC\ISO\ICRM\ITU\Intelsat\ANC\OSCE\PFP\UN\UNCRO\UNESCO\UPU\WEU\WHO\WIPO\WMO\WTrO,32,3646041,Roman Catholic,Lithuanian,4.84923453E10,34000,1.9578488273958,0,875.169793,669.0311569
