abbrev_org,name_org,date de création,GPS_siege,longitude_siege,point_palladio,latitude_siege,nom_siege,members,nombre_pays_membres,population_org,soldats_org,mortsGuerre_org,depensesMilitairesPIB_org,exportations_org,importations_org,superficie_org
NIB,Nordic Investment Bank,1975-12-04,POINT(24.93417 60.17556),24.93417,"60.17556, 24.93417",60.17556,Helsinki,Faroe Islands\Denmark\Greenland\Iceland,4,5810404,21000,0,1.42370423392813,569.6804889,558.0974088,2.313579E9
ANC,North Atlantic Cooperation Council,1991-11-08,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
NATO,North Atlantic Treaty Organization,1949-09-17,POINT(4.3525 50.846666666),4.3525,"50.846666666, 4.3525",50.846666666000004,Brussels,Canada\Afghanistan\United States\Luxembourg\Belgium\Denmark\Iceland,7,370567446,1629512,715,10.574329131532206,1098.6121861000001,1050.8228915999998,2.0442796E10
EN,Nuclear Energy Agency,1958-01-01,POINT(2.241388888 48.835277777),2.241388888,"48.835277777, 2.241388888",48.835277776999995,Boulogne-Billancourt,,0,0,0,0,0.0,0.0,0.0,0.0
NSG,Nuclear Suppliers Group,,,,,,,Canada\Argentina\New Zealand\United States\South Africa\Luxembourg\Australia\Belgium\Denmark,9,447530047,1819512,0,13.551286705049097,1300.8133900999999,1314.0022722,3.1634628E10
OECD,Organization for Economic Cooperation and Development,1960-12-14,,,,,,Canada\New Zealand\United States\Luxembourg\Australia\Mexico\Switzerland\Portugal\Spain\Italy\Netherlands\Iceland\United Kingdom,13,648060832,2826512,0,18.77586457396908,1845.5821202,1862.0928909999998,3.0875793E10
OSCE,Organization for Security and Cooperation in Europe,1995-01-01,POINT(16.3665 48.21),16.3665,"48.21, 16.3665",48.21,Q2047146,Canada\Turkmenistan\Jordan\Monaco\Albania\Afghanistan\San Marino\Armenia\Liechtenstein\United States\Luxembourg\Andorra\Georgia\Moldova\Croatia\Mongolia\Switzerland\Portugal\Spain\Italy\Netherlands\Iceland\Kyrgyzstan\Macedonia\United Kingdom,25,588423736,2873012,742,31.78049205494919,3526.5217535,3381.8138930999994,2.418363E10
OAU,Organization of African Unity,1963-05-25,,,,,,,0,0,0,0,0.0,0.0,0.0,0.0
OAS,Organization of American States,1948-04-30,POINT(-77.036666666 38.895),-77.036666666,"38.895, -77.036666666",38.895,"Washington, D.C.",Canada\Serbia and Montenegro\Argentina\Bolivia\Saudi Arabia\Guatemala\Dominica\Jamaica\Azerbaijan\Nicaragua\Saint Vincent and the Grenadines\Saint Lucia\Per\Saint Kitts and Nevis\United States\Barbados\Panama\Costa Rica\Luxembourg\Ecuador\El Salvador\Chile\Belgium\Belize\Georgia\Mexico\Denmark\Uruguay\Antigua and Barbuda\Colombia\Suriname\Venezuela\Trinidad and Tobago\Paraguay\Guyana\Equatorial Guinea\Sri Lanka,37,736846801,3322482,1319,45.68139176284369,4852.828591410001,4613.024806549999,3.3611812E10
OAPEC,Organization of Arab Petroleum Exporting Countries,1968-01-09,POINT(47.6 29.166667),47.6,"29.166667, 47.6",29.166666999999997,Kuwait,Bahrain\Saudi Arabia\Kuwait\United Arab Emirates\Libya\Iraq\Syria,7,80278438,561000,4152,26.28908685714804,861.93309774,1029.1960664,4.443739E9
